date,confirmed_cases,hosp_cases,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,death,Face_Masks_Required_in_Public,unemployment_rate,mask_required,population,rolling_cc_avg,rolling_cc_avg_diff,population_at_risk,daily_rate_of_infection,change_in_daily_rate_of_infection,rolling_death_avg
2020-08-04,6.0,9.0,,,,,,,,,0.0,Yes,,1,957419,54.57142857142857,-4.142857142857146,957364.4285714285,-4.327356458228852e-06,-0.001014692998197465,0.7142857142857143
2020-08-05,36.0,14.0,,,,,,,,,0.0,Yes,,1,957419,25.571428571428573,-28.999999999999996,957393.4285714285,-3.0290577660713893e-05,-0.002596322120248504,0.5714285714285714
2020-08-06,14.0,12.0,,,,,,,,,-2.0,Yes,,1,957419,20.0,-5.571428571428573,957399.0,-5.819338198001641e-06,0.0024471239462712253,0.0
2020-08-07,30.0,,,,,,,,,,2.0,Yes,,1,957419,23.285714285714285,3.2857142857142847,957395.7142857143,3.431929176918932e-06,0.0009251267374920573,0.2857142857142857
2020-08-08,0.0,,,,,,,,,,0.0,Yes,,1,957419,23.285714285714285,0.0,957395.7142857143,0.0,-0.0003431929176918932,0.2857142857142857
2020-08-09,0.0,21.0,,,,,,,,,0.0,Yes,,1,957419,23.285714285714285,0.0,957395.7142857143,0.0,0.0,0.2857142857142857
2020-08-10,79.0,24.0,,,,,,,,,1.0,Yes,,1,957419,23.571428571428573,0.28571428571428825,957395.4285714285,2.9842871313958017e-07,2.9842871313958016e-05,0.14285714285714285
2020-08-11,46.0,18.0,,,,,,,,,0.0,Yes,,1,957419,29.285714285714285,5.714285714285712,957389.7142857143,5.968609886882903e-06,0.0005670181173743322,0.14285714285714285
2020-08-12,7.0,21.0,,,,,,,,,1.0,Yes,,1,957419,25.142857142857142,-4.142857142857142,957393.8571428572,-4.3272234430463525e-06,-0.0010295833329929255,0.2857142857142857
2020-08-13,38.0,17.0,,,,,,,,,0.0,Yes,,1,957419,28.571428571428573,3.4285714285714306,957390.4285714285,3.5811632603089403e-06,0.0007908386703355293,0.5714285714285714
2020-08-14,34.0,,,,,,,,,,0.0,Yes,,1,957419,29.142857142857142,0.5714285714285694,957389.8571428572,5.968608996275417e-07,-0.0002984302360681399,0.2857142857142857
2020-08-15,0.0,,,,,,,,,,0.0,Yes,,1,957419,29.142857142857142,0.0,957389.8571428572,0.0,-5.968608996275417e-05,0.2857142857142857
2020-08-16,0.0,11.0,,,,,,,,,0.0,Yes,,1,957419,29.142857142857142,0.0,957389.8571428572,0.0,0.0,0.2857142857142857
2020-08-17,157.0,14.0,,,,,,,,,1.0,Yes,,1,957419,40.285714285714285,11.142857142857142,957378.7142857143,1.1638923005689194e-05,0.0011638923005689195,0.2857142857142857
2020-08-18,5.0,12.0,,,,,,,,,0.0,Yes,,1,957419,34.42857142857143,-5.857142857142854,957384.5714285715,-6.117857997651933e-06,-0.0017756781003341125,0.2857142857142857
2020-08-19,25.0,11.0,,,,,,,,,-1.0,Yes,,1,957419,37.0,2.5714285714285694,957382.0,2.6858960910363567e-06,0.000880375408868829,0.0
2020-08-20,54.0,12.0,,,,,,,,,0.0,Yes,,1,957419,39.285714285714285,2.2857142857142847,957379.7142857143,2.3874688920264196e-06,-2.9842719900993703e-05,0.0
2020-08-21,33.0,,,,,,,,,,1.0,Yes,,1,957419,39.142857142857146,-0.1428571428571388,957379.8571428572,-1.4921678348599528e-07,-0.0002536685675512415,0.14285714285714285
2020-08-22,0.0,,,,,,,,,,0.0,Yes,,1,957419,39.142857142857146,0.0,957379.8571428572,0.0,1.4921678348599528e-05,0.14285714285714285
2020-08-23,0.0,12.0,,,,,,,,,0.0,Yes,,1,957419,39.142857142857146,0.0,957379.8571428572,0.0,0.0,0.14285714285714285
2020-08-24,171.0,15.0,,,,,,,,,0.0,Yes,,1,957419,41.142857142857146,2.0,957377.8571428572,2.0890393328802106e-06,0.00020890393328802106,0.0
2020-08-25,17.0,16.0,,,,,,,,,1.0,Yes,,1,957419,42.857142857142854,1.7142857142857082,957376.1428571428,1.7906083487412632e-06,-2.9843098413894742e-05,0.14285714285714285
2020-08-26,45.0,15.0,,,,,,,,,1.0,Yes,,1,957419,45.714285714285715,2.857142857142861,957373.2857142857,2.9843561542571958e-06,0.00011937478055159326,0.42857142857142855
2020-08-27,54.0,14.0,,,,,,,,,0.0,Yes,,1,957419,45.714285714285715,0.0,957373.2857142857,0.0,-0.00029843561542571955,0.42857142857142855
2020-08-28,53.0,,,,,,,,,,0.0,Yes,,1,957419,48.57142857142857,2.857142857142854,957370.4285714285,2.9843650606654236e-06,0.00029843650606654236,0.2857142857142857
2020-08-29,0.0,,,,,,,,,,0.0,Yes,,1,957419,48.57142857142857,0.0,957370.4285714285,0.0,-0.00029843650606654236,0.2857142857142857
2020-08-30,0.0,14.0,,,,,,,,,0.0,Yes,,1,957419,48.57142857142857,0.0,957370.4285714285,0.0,0.0,0.2857142857142857
2020-08-31,129.0,13.0,,,,,,,,,1.0,Yes,,1,957419,42.57142857142857,-6.0,957376.4285714285,-6.2671273502660175e-06,-0.0006267127350266017,0.42857142857142855
2020-09-01,36.0,16.0,,,,,,,,,1.0,Yes,8.4,1,957419,45.285714285714285,2.7142857142857153,957373.7142857143,2.835137077385515e-06,0.0009102264427651533,0.42857142857142855
2020-09-02,26.0,16.0,,,,,,,,,0.0,Yes,,1,957419,42.57142857142857,-2.7142857142857153,957376.4285714285,-2.8351290394060568e-06,-0.0005670266116791572,0.2857142857142857
2020-09-03,30.0,14.0,,,,,,,,,0.0,Yes,,1,957419,39.142857142857146,-3.4285714285714235,957379.8571428572,-3.581202803663983e-06,-7.460737642579262e-05,0.2857142857142857
2020-09-04,36.0,,,,,,,,,,0.0,Yes,,1,957419,36.714285714285715,-2.4285714285714306,957382.2857142857,-2.536678884505908e-06,0.0001044523919158075,0.2857142857142857
2020-09-05,0.0,,,,,,,,,,0.0,Yes,,1,957419,36.714285714285715,0.0,957382.2857142857,0.0,0.00025366788845059083,0.2857142857142857
